Afghanistan;Afghan(s);Afghan
Albania;Albanian(s);Albanian
Algeria;Algerian(s);Algerian
American Samoa;American Samoan(s);American Samoan
Andorra;Andorran(s);Andorran
Angola;Angolan(s);Angolan
Anguilla;Anguillan(s);Anguillan
Antigua and Barbuda;Antiguan(s),Barbudan(s);Antiguan,Barbudan
Argentina;Argentine(s);Argentine
Armenia;Armenian(s);Armenian
Aruba;Aruban(s);Aruban
Australia;Australian(s);Australian
Austria;Austrian(s);Austrian
Azerbaijan;Azerbaijani(s);Azerbaijani
Bahamas;Bahamian(s);Bahamian
Bahrain;Bahraini(s);Bahraini
Bangladesh;Bangladeshi(s);Bangladeshi
Belarus;Belarusian(s);Belarusian
Belgium;Belgian(s);Belgian
Belize;Belizean(s);Belizean
Benin;Beninese;Beninese
Bermuda;Bermudian(s);Bermudian
Bhutan;Bhutanese;Bhutanese
Bolivia;Bolivian(s);Bolivian
Bosnia and Herzegovina;Bosnian(s),Herzegovinian(s);Bosnian,Herzegovinian
Botswana;Motswana,Batswana;Motswana,Batswana
Brazil;Brazilian(s);Brazilian
British Virgin Islands;British Virgin Islander(s);British Virgin Islander
Brunei;Bruneian(s);Bruneian
Bulgaria;Bulgarian(s);Bulgarian
Burkina Faso;Burkinabe;Burkinabe
Burma;Burmese;Burmese
Burundi;Burundian(s);Burundian
Cabo Verde;Cabo Verdean(s);Cabo Verdean
Cambodia;Cambodian(s);Cambodian
Cameroon;Cameroonian(s);Cameroonian
Canada;Canadian(s);Canadian
Cayman Islands;Caymanian(s);Caymanian
Central African Republic;Central African(s);Central African
Chad;Chadian(s);Chadian
Chile;Chilean(s);Chilean
China;Chinese;Chinese
Christmas Island;Christmas Islander(s);Christmas Island
Cocos (Keeling) Islands;Cocos Islander(s);Cocos Islander
Colombia;Colombian(s);Colombian
Comoros;Comoran(s);Comoran
Congo;Congolese;Congolese,Congo
Cook Islands;Cook Islander(s);Cook Islander
Costa Rica;Costa Rican(s);Costa Rican
Cote d'Ivoire;Ivoirian(s);Ivoirian
